Target,PE_Firm,Entry_Transaction_ID,Entry_Date,Exit_Transaction_ID,Exit_Date,reprisk_id,Company,sectors,no_reported_risk_exposure
"Accipiter Solutions, Inc.",Tri-State Investment Group,,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.","The Aurora Funds, Inc.",,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.",Southeast Interactive Technology Funds,,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.",Intersouth Partners,,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.",Gray Ventures Inc.,,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Acclaris, Inc.","Trident Capital, Inc.",SPTRD153719,2010-07-13,,,1236447,"Acclaris, Inc.",Support Services (Industrial Goods and Services),True
"Acclaris, Inc.",Staley Capital Management LLC,SPTRD153719,2010-07-13,,,1236447,"Acclaris, Inc.",Support Services (Industrial Goods and Services),True
"Acclaris, Inc.","Updata Advisors, Inc.",SPTRD153719,2010-07-13,,,1236447,"Acclaris, Inc.",Support Services (Industrial Goods and Services),True
"Acclaris, Inc.","HarbourVest Partners, LLC",SPTRD153719,2010-07-13,,,1236447,"Acclaris, Inc.",Support Services (Industrial Goods and Services),True
"Acclaris, Inc.","Acclaris, Inc.",,,SPTRD153719,2010-07-13,1236447,"Acclaris, Inc.",Support Services (Industrial Goods and Services),True
"Accord Human Resources, Inc.",Virgo Capital,SPTRD132949,2007-06-13,SPTRD164296,2012-04-26,1076068,"Accord Human Resources, Inc.",Support Services (Industrial Goods and Services),True
"Accord Human Resources, Inc.","TriNet Group, Inc. (NYSE:TNET)",SPTRD164296,2012-04-26,,,1076068,"Accord Human Resources, Inc.",Support Services (Industrial Goods and Services),True
"Accord Human Resources, Inc.","Accord Human Resources, Inc.",,,SPTRD132949,2007-06-13,1076068,"Accord Human Resources, Inc.",Support Services (Industrial Goods and Services),True
Accredited Home Lenders Holding Co.,"Lone Star Global Acquisitions, Ltd.",SPTRD132698,2007-10-12,,,608969,Accredited Home Lenders Holding Co.,Financial Services,True
Accredited Home Lenders Holding Co.,Citadel Enterprise Americas LLC,SPTRD870843,2007-03-22,,,608969,Accredited Home Lenders Holding Co.,Financial Services,True
Accredited Home Lenders Holding Co.,Accredited Home Lenders Holding Co. (:LEND),,,SPTRD132698,2007-10-12,608969,Accredited Home Lenders Holding Co.,Financial Services,True
"Aceva Technologies, Inc.",FIS Capital Markets US LLC (:SDS),SPTRD130402,2007-02-14,,,1367959,"Aceva Technologies, Inc.",Software and Computer Services,True
"Aceva Technologies, Inc.","Aceva Technologies, Inc.",,,SPTRD130402,2007-02-14,1367959,"Aceva Technologies, Inc.",Software and Computer Services,True
"Acordia, Inc.",Wand Partners Inc.,SPTRD1229377,1997-09-01,,,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.","High Ridge Capital Partners, L.P.",SPTRD1229377,1997-09-01,,,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.",High Ridge Capital LLC,SPTRD1229377,1997-09-01,,,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.","Knightsbridge Capital Fund I, L.P.",SPTRD1229377,1997-09-01,SPTRD1396704,1998-09-30,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.","North Cove Partners, LLC",SPTRD1229377,1997-09-01,,,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.","Banc of America Capital Investors, L.P. prior to merger with NationsBank Capital",SPTRD1229377,1997-09-01,,,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.","Knightsbridge Capital, LLC",SPTRD1229377,1997-09-01,SPTRD1396704,1998-09-30,1279994,"Acordia, Inc.",Financial Services,True
"Acordia, Inc.","Elevance Health, Inc. (NYSE:ELV)",,,SPTRD1229377,1997-09-01,1279994,"Acordia, Inc.",Financial Services,True
"Acosta, Inc.",Berkshire Partners LLC,SPTRD1171242,2003-01-27,SPTRD719376,2006-06-30,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"Acosta, Inc.","Berkshire Fund V, L.P.",SPTRD1171242,2003-01-27,SPTRD719376,2006-06-30,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"Acosta, Inc.","Berkshire Fund VI, L.P.",SPTRD1171242,2003-01-27,SPTRD719376,2006-06-30,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"Acosta, Inc.","Thomas H. Lee Partners, L.P.",SPTRD159719,2011-08-02,SPTRD195880,2014-09-30,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"Acosta, Inc.",The Carlyle Group Inc. (NASDAQGS:CG),SPTRD195880,2014-09-30,,,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"Acosta, Inc.",AEA Investors LP,SPTRD719376,2006-06-30,SPTRD159719,2011-08-02,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"Acosta, Inc.","Acosta, Inc.",,,SPTRD1171242,2003-01-27,155713,"Acosta, Inc.",Support Services (Industrial Goods and Services) | Media,False
"ACR Electronics, Inc.","Chelton Avionics, Inc.",SPTRD1390845,1999-05-12,,,1096793,"ACR Electronics, Inc.",Personal and Household Goods,True
"ACR Electronics, Inc.","J.F. Lehman Equity Investors III, L.P.",SPTRD518945,2012-07-09,,,1096793,"ACR Electronics, Inc.",Personal and Household Goods,True
"ACR Electronics, Inc.","J.F. Lehman and Company, LLC",SPTRD518945,2012-07-09,,,1096793,"ACR Electronics, Inc.",Personal and Household Goods,True
"ACR Electronics, Inc.",North American Funds LLC,,,SPTRD1390845,1999-05-12,1096793,"ACR Electronics, Inc.",Personal and Household Goods,True
"ACR Electronics, Inc.",Cobham Limited (:COB),,,SPTRD518945,2012-07-09,1096793,"ACR Electronics, Inc.",Personal and Household Goods,True
Action Sports Media Inc.,"Asm Sports Properties, LLC",SPTRD158324,2008-02-04,,,1075248,Action Sports Media Inc.,Telecommunications,True
Action Sports Media Inc.,"Parallel Investment Partners, LLC",,,SPTRD158324,2008-02-04,1075248,Action Sports Media Inc.,Telecommunications,True
"Action Sports Media, Inc.","Parallel Investment Partners, LLC",SPTRD532019,2005-07-22,,,1075248,"Action Sports Media, Inc.",Telecommunications,True
"Action Sports Media, Inc.",Vulcan Capital,,,SPTRD532019,2005-07-22,1075248,"Action Sports Media, Inc.",Telecommunications,True
"Active Interest Media, Inc.","Wind Point Advisors, LLC",,,SPTRD1908533,2021-02-16,618569,"Active Interest Media, Inc.",Media,True
"AdaptiveBlue, Inc.",Function(x) Inc. (:FNCX),SPTRD448976,,,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.",ITV plc (LSE:ITV),SPTRD448981,2013-11-06,,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.",WarnerMedia Investments,,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.",RRE Ventures LLC,,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.","Rho Capital Partners, Inc.",,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.","Union Square Ventures, LLC",,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.","Union Square Ventures 2004, L.P.",,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.","RRE Ventures IV, L.P.",,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"AdaptiveBlue, Inc.","Rho Ventures VI, L.P.",,,SPTRD448976,,1488634,"AdaptiveBlue, Inc.",Software and Computer Services,True
"ADESA, Inc.","Kelso Investment Associates VII, L.P.",SPTRD414395,2007-04-20,,,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"ADESA, Inc.","Parthenon Investors II, L.P.",SPTRD414395,2007-04-20,,,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"ADESA, Inc.","ValueAct Capital Management, L.P.",SPTRD414395,2007-04-20,SPTRD414395,2007-04-20,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"ADESA, Inc.","PCP Managers, L.P.",SPTRD414395,2007-04-20,,,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"ADESA, Inc.","ValueAct Capital Master Fund, L.P.",SPTRD414395,2007-04-20,,,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"ADESA, Inc.","Kelso & Company, L.P.",SPTRD414395,2007-04-20,,,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"ADESA, Inc.","ALLETE, Inc. (NYSE:ALE)",,,SPTRD414395,2007-04-20,196147,"ADESA, Inc.",Retail | Automobiles and Parts,False
"Advanced Pain Management Holdings, Inc.","Chicago Growth Partners, LLC",SPTRD164600,2010-12-22,,,601280,"Advanced Pain Management Holdings, Inc.",Health Care Equipment and Services,False
"Advanced Pain Management Holdings, Inc.","Advanced Pain Management Holdings, Inc.",,,SPTRD164600,2010-12-22,601280,"Advanced Pain Management Holdings, Inc.",Health Care Equipment and Services,False
Advanstar Communications Inc.,UBM plc (:UBM),SPTRD197325,2014-12-19,,,293409,Advanstar Communications Inc.,Support Services (Industrial Goods and Services) | Media,True
Advanstar Communications Inc.,Ares Management Corporation (NYSE:ARES),,,SPTRD197325,2014-12-19,293409,Advanstar Communications Inc.,Support Services (Industrial Goods and Services) | Media,True
Advanstar Communications Inc.,"Anchorage Capital Group, L.L.C.",,,SPTRD197325,2014-12-19,293409,Advanstar Communications Inc.,Support Services (Industrial Goods and Services) | Media,True
Advanstar Communications Inc.,VSS Fund Management LLC,,,SPTRD197325,2014-12-19,293409,Advanstar Communications Inc.,Support Services (Industrial Goods and Services) | Media,True
"AdvantEdge Healthcare Solutions, Inc.","Safeguard Scientifics, Inc. (OTCQX:SFES)",,,SPTRD1891772,2018-07-26,1339144,"AdvantEdge Healthcare Solutions, Inc.",Health Care Equipment and Services,True
"Advent Software, Inc.","TPG Partners VI, L.P.",SPTRD393350,2013-05-10,,,10427,"Advent Software, Inc.",Software and Computer Services,True
"Advent Software, Inc.","TPG Capital, L.P.",SPTRD393350,2013-05-10,,,10427,"Advent Software, Inc.",Software and Computer Services,True
"Advent Software, Inc.","Phoebe Snow Foundation, Inc.",,,SPTRD393350,2013-05-10,10427,"Advent Software, Inc.",Software and Computer Services,True
"Advent Software, Inc.","San Francisco Partners, L.P.",,,SPTRD393350,2013-05-10,10427,"Advent Software, Inc.",Software and Computer Services,True
"Advent Software, Inc.",SPO Advisory Corp.,,,SPTRD393350,2013-05-10,10427,"Advent Software, Inc.",Software and Computer Services,True
"Advent Software, Inc.","SPO Partners II, L.P.",,,SPTRD393350,2013-05-10,10427,"Advent Software, Inc.",Software and Computer Services,True
Affordable Residential Communities Inc.,"Charlesbank Capital Partners, LLC",SPTRD566647,1998-07-31,,,269273,Affordable Residential Communities Inc.,Financial Services,True
Affordable Residential Communities Inc.,"Thomas H. Lee Partners, L.P.",SPTRD566647,1998-07-31,,,269273,Affordable Residential Communities Inc.,Financial Services,True
Affordable Residential Communities Inc.,Princeton University Investment Company,SPTRD566647,1998-07-31,,,269273,Affordable Residential Communities Inc.,Financial Services,True
Affordable Residential Communities Inc.,"Nassau Capital, L.L.C.",SPTRD566647,1998-07-31,,,269273,Affordable Residential Communities Inc.,Financial Services,True
Affordable Residential Communities Inc.,UBS Capital Americas,SPTRD566647,1998-07-31,,,269273,Affordable Residential Communities Inc.,Financial Services,True
Affordable Residential Communities Inc.,"Thomas H. Lee Equity Partners IV, L.P.",SPTRD566647,1998-07-31,,,269273,Affordable Residential Communities Inc.,Financial Services,True
Affordable Residential Communities Inc.,Hilltop Holdings Inc. (NYSE:HTH),,,SPTRD566647,1998-07-31,269273,Affordable Residential Communities Inc.,Financial Services,True
Agent Media Corporation,"Summit Professional Networks, LLC",SPTRD132916,2007-06-14,,,1067723,Agent Media Corporation,Support Services (Industrial Goods and Services),True
Agent Media Corporation,Post Capital Management LLC,,,SPTRD132916,2007-06-14,1067723,Agent Media Corporation,Support Services (Industrial Goods and Services),True
"Airbrite, Inc.","Indiegogo, Inc.",SPTRD287799,2017-05-10,,,1366129,"Airbrite, Inc.",Software and Computer Services,True
"Airbrite, Inc.","General Catalyst Group Management, LLC",,,SPTRD287799,2017-05-10,1366129,"Airbrite, Inc.",Software and Computer Services,True
"Airbrite, Inc.","Elementum Ventures, LLC",,,SPTRD287799,2017-05-10,1366129,"Airbrite, Inc.",Software and Computer Services,True
"Airbrite, Inc.","Y Combinator Management, LLC",,,SPTRD287799,2017-05-10,1366129,"Airbrite, Inc.",Software and Computer Services,True
"Airbrite, Inc.",SV Angel,,,SPTRD287799,2017-05-10,1366129,"Airbrite, Inc.",Software and Computer Services,True
Ajax Rolled Ring & Machine Inc.,Prospect Capital Corporation (NASDAQGS:PSEC),SPTRD139179,2008-04-03,,,1120433,Ajax Rolled Ring & Machine Inc.,Mining,True
Ajax Rolled Ring & Machine Inc.,Dogwood Equity,,,SPTRD139179,2008-04-03,1120433,Ajax Rolled Ring & Machine Inc.,Mining,True
"AKQA, Inc.","General Atlantic Service Company, L.P.",SPTRD129872,2007-03-20,SPTRD164898,2012-07-23,1030888,"AKQA, Inc.",Support Services (Industrial Goods and Services),True
"AKQA, Inc.",WPP plc (LSE:WPP),SPTRD164898,2012-07-23,,,1030888,"AKQA, Inc.",Support Services (Industrial Goods and Services),True
"AKQA, Inc.",Gladstone Management Corporation,SPTRD868007,2008-09-30,,,1030888,"AKQA, Inc.",Support Services (Industrial Goods and Services),True
"AKQA, Inc.",AKQA Inc.,,,SPTRD868007,2008-09-30,1030888,"AKQA, Inc.",Support Services (Industrial Goods and Services),True
"Alanco Technologies, Inc.",YuuZoo Networks Group Corporation (:AFC),SPTRD398602,,,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",Hudson Bay Capital Management LP,,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.","WS Ventures Management, L.P.",,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",ORBCOMM Inc. (:ORBC),,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.","Seaside 88, LP",,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",Rhino Capital Inc.,,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",Walker Smith Opportunity Fund L.P,,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.","WS Opportunity Fund International, Ltd.",,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",Hudson Bay Fund LP,,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",Hudson Bay Master Fund Ltd,,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.",Rhino Fund LLP,,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alanco Technologies, Inc.","Seaside 88, LLC",,,SPTRD398602,,48189,"Alanco Technologies, Inc.",Technology Hardware and Equipment,True
"Alaska Communications Systems Group, Inc.","22NW Fund, LP",,,SPTRD1790845,,12847,"Alaska Communications Systems Group, Inc.",Telecommunications,True
"Alaska Communications Systems Group, Inc.","22NW, LP",,,SPTRD1790845,,12847,"Alaska Communications Systems Group, Inc.",Telecommunications,True
"Alaska Communications Systems Group, Inc.",Tar Holdings Llc,,,SPTRD1790845,,12847,"Alaska Communications Systems Group, Inc.",Telecommunications,True
"Albridge Solutions, Inc.",BNY Mellon Government Securities Services CORP.,SPTRD136700,2007-12-07,,,1242984,"Albridge Solutions, Inc.",Financial Services,True
"Albridge Solutions, Inc.","Albridge Solutions, Inc.",,,SPTRD136700,2007-12-07,1242984,"Albridge Solutions, Inc.",Financial Services,True
"Alere Medical, Inc.","TA Associates Management, L.P.",SPTRD517722,2007-04-03,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.",Alere Inc. (:ALR),SPTRD687554,2007-11-16,,,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.",Band of Angels,,,SPTRD517722,2007-04-03,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.",EuclidSR Partners,,,SPTRD517722,2007-04-03,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.","Cutlass Capital, LLC",,,SPTRD517722,2007-04-03,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.","WindRose Health Investors, LLC",,,SPTRD517722,2007-04-03,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.",Institutional Venture Partners,,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.","SR One Capital Management, LP",,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.",Firemark Investments,,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.","Westech Investment Advisors, LLC",,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.","Flagship Pioneering, Inc",,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.",Skywood Ventures,,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alere Medical, Inc.","Nevada Ventures, LP",,,SPTRD687554,2007-11-16,1306769,"Alere Medical, Inc.",Health Care Equipment and Services,True
"Alex eSolutions, Inc.","TPH Seller, Inc.",SPTRD746631,2005-08-15,,,2199493,"Alex eSolutions, Inc.",Media,True
"Alex eSolutions, Inc.",Austin Ventures,,,SPTRD746631,2005-08-15,2199493,"Alex eSolutions, Inc.",Media,True
"Alexander's, Inc.",Interstate Properties Inc.,SPTRD429945,1984-11-09,,,7615,"Alexander's, Inc.",Financial Services,True
"Alexander's, Inc.",Keystone Group LP,SPTRD429945,1984-11-09,SPTRD424280,1986-11-30,7615,"Alexander's, Inc.",Financial Services,True
"Alexander's, Inc.","Alexander's, Inc. (NYSE:ALX)",,,SPTRD429945,1984-11-09,7615,"Alexander's, Inc.",Financial Services,True
"ALG, Inc.",J.D. Power,SPTRD1759264,2020-11-30,,,1047363,"ALG, Inc.",Support Services (Industrial Goods and Services),True
"ALG, Inc.","TrueCar, Inc. (NASDAQGS:TRUE)",,,SPTRD1759264,2020-11-30,1047363,"ALG, Inc.",Support Services (Industrial Goods and Services),True
"All Island Media, Inc.",Wafra Partners LLC,SPTRD155163,2010-11-04,,,202874,"All Island Media, Inc.",Media,True
"All Island Media, Inc.",Hamilton Robinson Capital Partners LLC,,,SPTRD155163,2010-11-04,202874,"All Island Media, Inc.",Media,True
"All Web Leads, Inc.","Genstar Capital, LLC",SPTRD203554,2015-06-30,,,632366,"All Web Leads, Inc.",Insurance | Financial Services,True
"All Web Leads, Inc.","Great Hill Partners, LP",SPTRD868129,2011-01-31,SPTRD203554,2015-06-30,632366,"All Web Leads, Inc.",Insurance | Financial Services,True
"All Web Leads, Inc.","All Web Leads, Inc.",,,SPTRD868129,2011-01-31,632366,"All Web Leads, Inc.",Insurance | Financial Services,True
"AllBusiness.com, Inc.","Centrata, Inc.",SPTRD1218411,2002-12-31,,,2182978,"AllBusiness.com, Inc.",Financial Services,True
"AllBusiness.com, Inc.",RRE Ventures LLC,,,SPTRD1218411,2002-12-31,2182978,"AllBusiness.com, Inc.",Financial Services,True
"AllBusiness.com, Inc.",The Carlyle Group Inc. (NASDAQGS:CG),,,SPTRD1218411,2002-12-31,2182978,"AllBusiness.com, Inc.",Financial Services,True
"AllBusiness.com, Inc.",Kleiner Perkins Caufield & Byers,,,SPTRD1218411,2002-12-31,2182978,"AllBusiness.com, Inc.",Financial Services,True
"Allegiance Telecom, Inc.",Vulcan Capital,SPTRD522940,1999-09-13,,,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Allegiance Telecom, Inc.","Madison Dearborn Capital Partners II, L.P.",,,SPTRD532041,1999-11-01,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Allegiance Telecom, Inc.","Frontenac VII, L.P.",,,SPTRD532041,1999-11-01,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Allegiance Telecom, Inc.",Battery Ventures L.P.,,,SPTRD532041,1999-11-01,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Allegiance Telecom, Inc.","Battery Ventures IV, L.P.",,,SPTRD532041,1999-11-01,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Allegiance Telecom, Inc.","Madison Dearborn Partners, LLC",,,SPTRD532041,1999-11-01,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Allegiance Telecom, Inc.",Frontenac Company LLC,,,SPTRD532041,1999-11-01,1050738,"Allegiance Telecom, Inc.",Telecommunications,True
"Alliant Insurance Services, Inc.",Blackstone Inc. (NYSE:BX),SPTRD132702,2007-08-31,SPTRD168034,2012-12-20,156949,"Alliant Insurance Services, Inc.",Insurance,False
"Alliant Insurance Services, Inc.",KKR & Co. Inc. (NYSE:KKR),SPTRD168034,2012-12-20,,,156949,"Alliant Insurance Services, Inc.",Insurance,False
"Alliant Insurance Services, Inc.","Trident VI, L.P.",SPTRD2138236,2015-06-23,,,156949,"Alliant Insurance Services, Inc.",Insurance,False
"Alliant Insurance Services, Inc.",Stone Point Capital LLC,SPTRD2138236,2015-06-23,,,156949,"Alliant Insurance Services, Inc.",Insurance,False
"Alliant Insurance Services, Inc.",Goldberg Lindsay & Co. LLC,,,SPTRD132702,2007-08-31,156949,"Alliant Insurance Services, Inc.",Insurance,False
"Alliant Insurance Services, Inc.","Alliant Insurance Services, Inc.",,,SPTRD2138236,2015-06-23,156949,"Alliant Insurance Services, Inc.",Insurance,False
Allis-Chalmers Energy Inc.,Archer Limited (OB:ARCH),SPTRD412986,2011-02-23,,,12878,Allis-Chalmers Energy Inc.,Oil and Gas,True
Allis-Chalmers Energy Inc.,"Lime Rock Partners, LLC",,,SPTRD412986,2011-02-23,12878,Allis-Chalmers Energy Inc.,Oil and Gas,True
