,Company,Target ID,Target,Year,PE_Firm,PE-backed,reprisk_id,current_RRI,RRI_trend,peak_RRI,peak_RRI_date,RepRisk_rating,country_sector_average,environmental_percentage,social_percentage,governance_percentage,headquarter_country_code,sectors
30,"ADESA, Inc.",4021791,"ADESA, Inc.",2009,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,22,0%,0%,0%,US,Retail | Automobiles and Parts
31,"ADESA, Inc.",4021791,"ADESA, Inc.",2010,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,21,0%,0%,0%,US,Retail | Automobiles and Parts
32,"ADESA, Inc.",4021791,"ADESA, Inc.",2011,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,21,0%,0%,0%,US,Retail | Automobiles and Parts
33,"ADESA, Inc.",4021791,"ADESA, Inc.",2012,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,20,0%,0%,0%,US,Retail | Automobiles and Parts
34,"ADESA, Inc.",4021791,"ADESA, Inc.",2013,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,22,0%,0%,0%,US,Retail | Automobiles and Parts
35,"ADESA, Inc.",4021791,"ADESA, Inc.",2014,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,22,0%,0%,0%,US,Retail | Automobiles and Parts
36,"ADESA, Inc.",4021791,"ADESA, Inc.",2015,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,21,0%,0%,0%,US,Retail | Automobiles and Parts
37,"ADESA, Inc.",4021791,"ADESA, Inc.",2016,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,21,0%,0%,0%,US,Retail | Automobiles and Parts
38,"ADESA, Inc.",4021791,"ADESA, Inc.",2017,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,16,-1,32,2017-05-03,A,22,0%,100%,0%,US,Retail | Automobiles and Parts
39,"ADESA, Inc.",4021791,"ADESA, Inc.",2018,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,-1,32,2017-05-03,A,22,0%,100%,0%,US,Retail | Automobiles and Parts
40,"ADESA, Inc.",4021791,"ADESA, Inc.",2019,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,16,2017-12-31,AA,23,0%,0%,0%,US,Retail | Automobiles and Parts
41,"ADESA, Inc.",4021791,"ADESA, Inc.",2020,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,2018-12-01,AA,24,0%,0%,0%,US,Retail | Automobiles and Parts
42,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2007,[],0,365380,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
43,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2007,[],0,413094,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
44,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2008,[],0,365380,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
45,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2008,[],0,413094,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
46,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2009,[],0,365380,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
47,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2009,[],0,413094,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
48,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2010,[],0,365380,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
49,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2010,[],0,413094,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
50,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2011,[],0,365380,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
51,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2011,[],0,413094,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
52,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2012,[],0,365380,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
53,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2012,[],0,413094,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
54,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2013,[],0,365380,0,0,0,,AA,22,0%,0%,0%,US,Financial Services
55,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2013,[],0,413094,0,0,0,,AA,22,0%,0%,0%,US,Financial Services
56,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2014,[],0,365380,0,0,0,,AA,22,0%,0%,0%,US,Financial Services
57,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2014,[],0,413094,0,0,0,,AA,22,0%,0%,0%,US,Financial Services
58,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2015,[],0,365380,0,0,0,,AA,21,0%,0%,0%,US,Financial Services
59,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2015,[],0,413094,0,0,0,,AA,21,0%,0%,0%,US,Financial Services
60,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2016,[],0,365380,0,0,0,,AA,21,0%,0%,0%,US,Financial Services
61,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2016,[],0,413094,0,0,0,,AA,21,0%,0%,0%,US,Financial Services
62,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2017,[],0,365380,17,-1,36,2017-05-05,A,22,0%,100%,0%,US,Financial Services
63,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2017,[],0,413094,0,0,0,,AA,22,0%,0%,0%,US,Financial Services
64,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2018,[],0,365380,0,-1,36,2017-05-05,A,23,0%,100%,0%,US,Financial Services
65,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2018,[],0,413094,15,-1,32,2018-04-05,A,23,0%,0%,100%,US,Financial Services
66,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2019,[],0,365380,0,0,17,2017-12-31,AA,23,0%,0%,0%,US,Financial Services
67,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2019,[],0,413094,0,0,32,2018-04-05,A,23,0%,0%,100%,US,Financial Services
68,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2020,[],0,365380,0,0,0,2018-12-01,AA,26,0%,0%,0%,US,Financial Services
69,"AMC Holding, Inc.",4931396,"AMC Holding, Inc.",2020,[],0,413094,0,0,15,2019-01-01,AA,26,0%,0%,0%,US,Financial Services
70,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2007,"['H.I.G. Capital, LLC', 'GTCR LLC', 'Nazem and Company', 'Wheatley Partners L.P.']",1,24406,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
71,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2008,['GTCR LLC'],1,24406,0,0,0,,AA,22,0%,0%,0%,US,Health Care Equipment and Services
72,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2009,['GTCR LLC'],1,24406,25,-8,40,2009-11-01,BBB,22,0%,0%,100%,US,Health Care Equipment and Services
73,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2010,['GTCR LLC'],1,24406,9,-1,40,2009-11-01,BBB,19,0%,0%,100%,US,Health Care Equipment and Services
74,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2011,['GTCR LLC'],1,24406,0,0,25,2009-12-31,AA,20,0%,0%,0%,US,Health Care Equipment and Services
75,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2012,['GTCR LLC'],1,24406,0,0,8,2011-01-01,AA,20,0%,0%,0%,US,Health Care Equipment and Services
76,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2013,['GTCR LLC'],1,24406,0,0,0,2011-06-01,AA,23,0%,0%,0%,US,Health Care Equipment and Services
77,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2014,['GTCR LLC'],1,24406,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
78,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2015,['GTCR LLC'],1,24406,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
79,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2016,['GTCR LLC'],1,24406,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
80,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2017,['GTCR LLC'],1,24406,0,0,0,,AA,24,0%,0%,0%,US,Health Care Equipment and Services
81,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2018,['GTCR LLC'],1,24406,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
82,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2019,['GTCR LLC'],1,24406,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
83,APS Healthcare Inc.,4073035,APS Healthcare Inc.,2020,['GTCR LLC'],1,24406,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
84,"Acosta, Inc.",4115078,"Acosta, Inc.",2007,['AEA Investors LP'],1,155713,0,0,0,,AA,21,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
85,"Acosta, Inc.",4115078,"Acosta, Inc.",2008,['AEA Investors LP'],1,155713,0,0,0,,AA,23,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
86,"Acosta, Inc.",4115078,"Acosta, Inc.",2009,['AEA Investors LP'],1,155713,0,0,0,,AAA,19,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
87,"Acosta, Inc.",4115078,"Acosta, Inc.",2010,['AEA Investors LP'],1,155713,0,0,0,,AAA,19,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
88,"Acosta, Inc.",4115078,"Acosta, Inc.",2011,['AEA Investors LP'],1,155713,0,0,0,,AA,20,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
89,"Acosta, Inc.",4115078,"Acosta, Inc.",2012,[],0,155713,0,0,0,,AAA,19,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
90,"Acosta, Inc.",4115078,"Acosta, Inc.",2013,[],0,155713,20,20,20,2013-12-13,AA,22,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
91,"Acosta, Inc.",4115078,"Acosta, Inc.",2014,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,3,-2,20,2013-12-13,AA,22,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
92,"Acosta, Inc.",4115078,"Acosta, Inc.",2015,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,0,0,20,2013-12-31,AA,22,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
93,"Acosta, Inc.",4115078,"Acosta, Inc.",2016,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,0,0,3,2015-01-01,AA,22,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
94,"Acosta, Inc.",4115078,"Acosta, Inc.",2017,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,0,0,0,2015-02-01,AA,22,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
95,"Acosta, Inc.",4115078,"Acosta, Inc.",2018,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,0,0,0,,AA,23,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
96,"Acosta, Inc.",4115078,"Acosta, Inc.",2019,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,0,0,0,,AA,23,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
97,"Acosta, Inc.",4115078,"Acosta, Inc.",2020,['The Carlyle Group Inc. (NASDAQGS:CG)'],1,155713,0,0,0,,AA,24,0%,0%,0%,US,Support Services (Industrial Goods and Services) | Media
98,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2007,[],0,601280,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
99,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2008,[],0,601280,0,0,0,,AA,22,0%,0%,0%,US,Health Care Equipment and Services
100,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2009,[],0,601280,0,0,0,,AA,22,0%,0%,0%,US,Health Care Equipment and Services
101,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2010,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AAA,19,0%,0%,0%,US,Health Care Equipment and Services
102,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2011,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,20,0%,0%,0%,US,Health Care Equipment and Services
103,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2012,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,20,0%,0%,0%,US,Health Care Equipment and Services
104,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2013,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,23,0%,0%,0%,US,Health Care Equipment and Services
105,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2014,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
106,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2015,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
107,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2016,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
108,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2017,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,24,0%,0%,0%,US,Health Care Equipment and Services
109,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2018,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
110,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2019,"['Chicago Growth Partners, LLC']",1,601280,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
111,"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",2020,"['Chicago Growth Partners, LLC']",1,601280,23,-1,32,2020-10-01,A,26,0%,0%,100%,US,Health Care Equipment and Services
112,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2007,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
113,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2008,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,22,0%,0%,0%,US,Health Care Equipment and Services
114,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2009,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,22,0%,0%,0%,US,Health Care Equipment and Services
115,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2010,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AAA,19,0%,0%,0%,US,Health Care Equipment and Services
116,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2011,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,20,0%,0%,0%,US,Health Care Equipment and Services
117,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2012,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,20,0%,0%,0%,US,Health Care Equipment and Services
118,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2013,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,23,0%,0%,0%,US,Health Care Equipment and Services
119,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2014,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
120,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2015,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,26,0%,0%,0%,US,Health Care Equipment and Services
121,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2016,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
122,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2017,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,24,0%,0%,0%,US,Health Care Equipment and Services
123,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2018,"['Safeguard Scientifics, Inc. (OTCQX:SFES)']",1,1516067,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
124,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2019,[],0,1516067,0,0,0,,AA,25,0%,0%,0%,US,Health Care Equipment and Services
125,"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",2020,[],0,1516067,19,-1,40,2020-06-16,BBB,26,0%,100%,0%,US,Health Care Equipment and Services
126,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2007,"['TA Associates Management, L.P.']",1,11771,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
127,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2008,"['TA Associates Management, L.P.']",1,11771,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
128,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2009,"['TA Associates Management, L.P.']",1,11771,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
129,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2010,"['TA Associates Management, L.P.']",1,11771,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
130,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2011,"['TA Associates Management, L.P.']",1,11771,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
131,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2012,"['TA Associates Management, L.P.']",1,11771,7,-1,20,2012-03-05,AA,20,0%,0%,0%,US,Financial Services
132,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2013,"['TA Associates Management, L.P.']",1,11771,13,-1,20,2012-03-05,AA,22,0%,0%,0%,US,Financial Services
133,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2014,"['TA Associates Management, L.P.']",1,11771,25,-1,26,2014-11-27,AA,22,0%,0%,0%,US,Financial Services
134,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2015,"['TA Associates Management, L.P.']",1,11771,19,-2,26,2014-11-27,AA,21,0%,0%,100%,US,Financial Services
135,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2016,"['TA Associates Management, L.P.']",1,11771,19,4,25,2015-01-01,AA,21,0%,0%,100%,US,Financial Services
136,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2017,"['TA Associates Management, L.P.']",1,11771,11,-1,20,2016-06-16,AA,22,0%,100%,0%,US,Financial Services
137,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2018,"['TA Associates Management, L.P.']",1,11771,5,-1,20,2017-05-23,AA,23,0%,100%,0%,US,Financial Services
138,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2019,"['TA Associates Management, L.P.']",1,11771,15,-1,19,2019-09-23,AA,23,0%,0%,0%,US,Financial Services
139,"Affiliated Managers Group, Inc.",113618,"Affiliated Managers Group, Inc.",2020,"['TA Associates Management, L.P.']",1,11771,18,4,20,2020-07-15,AA,26,0%,0%,0%,US,Financial Services
140,"Alex eSolutions, Inc.",4154800,"Alex eSolutions, Inc.",2007,[],0,653295,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
141,"Alex eSolutions, Inc.",4154800,"Alex eSolutions, Inc.",2008,[],0,653295,0,0,0,,AA,20,0%,0%,0%,US,Financial Services
142,"Alex eSolutions, Inc.",4154800,"Alex eSolutions, Inc.",2009,[],0,653295,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
143,"Alex eSolutions, Inc.",4154800,"Alex eSolutions, Inc.",2010,[],0,653295,0,0,0,,AAA,19,0%,0%,0%,US,Financial Services
