SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,reprisk_id,company_name_reprisk,sectors,no_reported_risk_exposure
"1st Colonial Bancorp, Inc. (OTCPK:FCOB)",4074177,"1st Colonial Bancorp, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [1st & Main Growth Partners],47774,1st Colonial Bancorp Inc,Banks,True
1st Pacific Bancorp (OTCPK:FPBN),4152108,1st Pacific Bancorp,Out of Business,Private Company,Never Sponsor-Backed,52078,1st Pacific Bancorp,Banks,True
"1ST SUMMIT BANCORP of Johnstown, Inc. (OTCPK:FSMK)",1023101,"1ST SUMMIT BANCORP of Johnstown, Inc.",Operating,Public Company,Never Sponsor-Backed,2352228,1st Summit Bancorp of Johnstown Inc,Banks,True
"21st Century Newspapers, Inc.",4147955,"21st Century Newspapers, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [PFLT Funding II, LLC (NASDAQGM:MCGC) (NASDAQGM : MCGC);Goldman Sachs Asset Management, L.P.;Kelso & Company, L.P.]",1092413,21st Century Newspapers INC,Telecommunications,True
"29West, Inc.",4254319,"29West, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Susquehanna Private Equity Investments, LLC;Susquehanna Growth Equity, LLC]",1362844,29west INC,Software and Computer Services,True
"3001 International, Inc.",4149388,"3001 International, Inc.",Operating,Private Company,Never Sponsor-Backed,1659502,"3001 International, Inc.",Software and Computer Services,True
5E Advanced Materials Inc.,106243167,5E Advanced Materials Inc.,Operating,Private Company,Never Sponsor-Backed,2486128,5E Advanced Materials Inc,Mining,True
7 Star Entertainment,4303646,7 Star Entertainment,Operating,Private Company,Never Sponsor-Backed,1476414,7 Star Entertainment,Software and Computer Services,True
724 Solutions Inc. (OTCPK:SVNX),4090213,724 Solutions Inc.,Acquired,Private Company,"Prior Sponsor-Backed [General Motors Investment Management Corporation;TVM Capital GmbH;Blue Sky Capital Corporation;Austin Ventures;Sony Venture Capital;TGF Management Corp.;Bayshore Capital Inc.;FTV Management Company, L.P.;Escalate Capital Partners]",1362899,724 Solutions INC,Software and Computer Services,True
"7-Eleven, Inc. (NYSE:SE)",3000399,"7-Eleven, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Signet Healthcare Partners],4886,7-Eleven Inc,Retail,False
"A Bit Lucky, Inc.",4335879,"A Bit Lucky, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [XG Ventures;Founder Collective Management Co, LLC;SV Angel;Rembrandt Venture Management LLC;Felicis Ventures Management Company, LLC;Blumberg Capital, L.L.C.;Lerer Hippeau Ventures Management, LLC]",1355954,A BIT Lucky INC,Software and Computer Services,True
A.B. Watley Group Inc. (OTCPK:ABW),4046416,A.B. Watley Group Inc.,Out of Business,Private Company,"Prior Sponsor-Backed [Franklin Mutual Advisers, LLC;Boston Partners Global Investors, Inc.;Weintraub Capital Management, L.P.;New York Community Investment Company]",59565,AB Watley Group Inc,Financial Services,True
A21 Inc. (OTCPK:ATWO.Q),4212136,A21 Inc.,Out of Business,Public Company,"Prior Sponsor-Backed [Angelo, Gordon & Co., L.P.;Gabriel Capital Group;Barron Partners LP;Aslan Capital Management, LP;Ahab Capital Management, Inc.;StarVest Partners, L.P.;LaGrange Capital Management, LLC]",59285,a21 Inc,Software and Computer Services,True
Abacus Federal Savings Bank,1003012,Abacus Federal Savings Bank,Operating,Private Company,Never Sponsor-Backed,76568,Abacus Federal Savings Bank,Banks,False
ABARTA Inc.,4400441,ABARTA Inc.,Operating,Private Company,Never Sponsor-Backed,261432,ABARTA Inc,Food and Beverage,False
Abercrombie & Fitch Co. (NYSE:ANF),4066681,Abercrombie & Fitch Co.,Operating,Public Company,"Pending or Current Sponsor-Backed [SLS Management, LLC;California Public Employees' Retirement System;Engaged Capital, LLC]

Prior Sponsor-Backed [Invesco Advisers, Inc.]",1433,Abercrombie & Fitch Co,Retail,False
"Able Lending, Inc.",4624909,"Able Lending, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [The Founders Fund, LLC;Base Ventures;Floodgate Fund, LP;EMERGE s.a.-n.v.;Westech Investment Advisors, LLC;Expansion Capital Partners, LLC]

Prior Sponsor-Backed [Correlation Ventures, L.P.;ZenStone Venture Capital LLC;Peterson Partners, LLC;TDF Ventures LLC;Soma Ventures]",1245254,Able Lending INC,Financial Services,True
"AboveNet, Inc. (NYSE:ABVT)",4057659,"AboveNet, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Trautman Wasserman & Co., Inc.;Columbia Wanger Asset Management, LLC;Corvex Management LP;Kline Hawkes & Co.;Monitor Venture Associates, LLC;Eagle River Investments LLC;CDIB Ventures;Technology Associates Management Co.;TA Associates (UK), LLP;JGD Management Corp.;TA Associates Management, L.P.]",11959,AboveNet Inc,Telecommunications,True
"ABS Capital Partners, Inc.",4155913,"ABS Capital Partners, Inc.",Operating,Private Company,Never Sponsor-Backed,108157,ABS Capital Partners Inc,Financial Services,False
Absecon Bancorp (OTCPK:ASCN),1974214,Absecon Bancorp,Operating,Public Company,Never Sponsor-Backed,86684,Absecon Bancorp,Financial Services,True
ACA Financial Guaranty Corporation,4047643,ACA Financial Guaranty Corporation,Operating,Private Company,Never Sponsor-Backed,106782,ACA Financial Guaranty Corporation,Insurance,False
Academy Mortgage Corp.,4304355,Academy Mortgage Corp.,Operating,Private Company,Never Sponsor-Backed,2556209,Academy Mortgage Corp,Financial Services,False
"Academy Securities, Inc.",4112305,"Academy Securities, Inc.",Operating,Private Company,Prior Sponsor-Backed [Stony Lonesome Group],236019,Academy Securities Inc,Financial Services,False
Acadia Realty Trust (NYSE:AKR),103085,Acadia Realty Trust,Operating,Public Company,"Prior Sponsor-Backed [Invesco Advisers, Inc.;Almanac Realty Investors, LLC]",15038,Acadia Realty Trust,Financial Services,True
"Accero, Inc.",4108464,"Accero, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Vista Equity Partners Management, LLC]",1024683,Accero INC,Support Services (Industrial Goods and Services),True
"Accertify, Inc.",4274865,"Accertify, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Accel-KKR LLC;Altaroc Partners SA]

Prior Sponsor-Backed [Intel Capital Corporation;ForgePoint Capital Management, LLC;Trident Capital, Inc.]",1377309,Accertify INC,Software and Computer Services,True
Access Data Corp.,4234470,Access Data Corp.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [J. & W. Seligman & Co. Incorporated;Wheatley Partners L.P.;W Capital Management, LLC;Arlington Asset Investment Corp. (NYSE:AAIC) (NYSE : AAIC)]",2531337,Access Data Corp,Software and Computer Services,True
"Access Financial Services, Inc.",4030939,"Access Financial Services, Inc.",Operating,Private Company,Never Sponsor-Backed,2458292,Access Financial Services Inc,Financial Services,True
"Access Media 3, Inc.",4294966,"Access Media 3, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [ORIX Growth Capital, LLC;Main Street Capital Corporation (NYSE:MAIN) (NYSE : MAIN)]

Prior Sponsor-Backed [WP Global Partners LLC;Petra Capital Partners, LLC;Meritage Funds]",1070878,Access Media 3 Inc,Telecommunications,True
"Access to Money, Inc. (NASDAQGM:TRMM)",4296353,"Access to Money, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Lampe, Conway & Co. LLC]",49642,Access to Money Inc,Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.",4149456,"Accipiter Solutions, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Frontier Growth;Intersouth Partners;Tri-State Investment Group;Cordova Ventures;Southeast Interactive Technology Funds;Gray Ventures Inc.;The Aurora Funds, Inc.]",1066398,Accipiter Solutions INC,Support Services (Industrial Goods and Services),True
"Acclaim Games, Inc.",4262584,"Acclaim Games, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Mayfield Fund, L.L.C.]",1368374,Acclaim Games INC,Software and Computer Services,True
"Acclaris, Inc.",4262683,"Acclaris, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [HarbourVest Partners, LLC;Trident Capital, Inc.;Lion Investments;Staley Capital Management LLC;Escalate Capital Partners;ORIX Growth Capital, LLC;Updata Management, LLC;MM Venture Partners;Lightview Capital, LLC]",1236447,Acclaris Inc,Support Services (Industrial Goods and Services),True
"Accord Human Resources, Inc.",4163053,"Accord Human Resources, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Virgo Capital],1076068,Accord Human Resources INC,Support Services (Industrial Goods and Services),True
Accredited Home Lenders Holding Co. (NASDAQGM:LEND),4077674,Accredited Home Lenders Holding Co.,Out of Business,Private Company,"Prior Sponsor-Backed [Lone Star Americas Acquisitions, Inc.;Ocean Park Capital Management;Capital Z Partners Management, LLC;Farallon Capital Management, L.L.C.;Crosspoint Venture Partners;Enterprise Partners Venture Capital]",608969,Accredited Home Lenders Holding Co,Financial Services,True
Accuity Inc.,4225973,Accuity Inc.,Operating Subsidiary,Private Company,Prior Sponsor-Backed [Investcorp Holdings B.S.C. (BAX:INVCORP) (BAX:INVCORP)],147064,Accuity Inc,Financial Services,True
"Accuro Healthcare Solutions, Inc.",4289510,"Accuro Healthcare Solutions, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Select Capital Ventures;Welsh, Carson, Anderson & Stowe, L.P.;Santé Ventures, LLC]",1335599,Accuro Healthcare Solutions INC,Health Care Equipment and Services,True
Ace Cogeneration Co.,4058318,Ace Cogeneration Co.,Operating,Private Company,"Prior Sponsor-Backed [ArcLight Capital Partners, LLC]",649970,ACE Cogeneration Co,Alternative Energy,False
"Aceva Technologies, Inc.",4154103,"Aceva Technologies, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Westech Investment Advisors, LLC;Sequoia Capital Operations LLC;Accel Partners;WarnerMedia Investments;Clayton, Dubilier & Rice, LLC;Mentor Capital Group;Focus Ventures;Clearstone Venture Partners;Oracle Ventures;Charter Life Sciences]",1367959,Aceva Technologies INC,Software and Computer Services,True
"Achex, Inc.",4121233,"Achex, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Owl Capital Group;First Data Corp. Internet Ventures;RRE Ventures LLC;Threshold Ventures Management Company, LLC]",1242052,Achex INC,Financial Services,True
"ACME Communications, Inc. (OTCPK:ACME)",4121751,"ACME Communications, Inc.",Out of Business,Private Company,"Prior Sponsor-Backed [BancBoston Capital, Inc.;Wynnefield Capital, Inc.;Alta Equity Partners;Seaport Capital, LLC;Burr, Egan, Deleage & Co.;TCW Investment Management Company LLC;BancBoston Ventures, Inc.]",50186,Acme Communications Inc,Media,True
"Acosta, Inc.",4115078,"Acosta, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Oaktree Capital Management, L.P.;GIC Private Limited;Franklin Square Holdings, L.P.;Nexus Capital Management LP;Pinebridge Capital Partners, Inc.;Elliott Management Corporation;Davidson Kempner Capital Management LP;PineBridge Investments LLC]

Prior Sponsor-Backed [Spice Private Equity AG (OTCPK:SPPE.F) (OTCPK : SPPE.F);The Carlyle Group Inc. (NASDAQGS:CG) (NASDAQGS : CG);Chartwell Capital Management Co., Inc.;Thomas H. Lee Partners, L.P.;AEA Investors LP;Berkshire Partners LLC]",155713,Acosta Inc,Support Services (Industrial Goods and Services) | Media,False
"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [J.F. Lehman and Company, LLC;North American Funds LLC;TJC LP]",1096793,ACR Electronics INC,Personal and Household Goods,True
"Acrisure Holdings, Inc.",8379969,"Acrisure Holdings, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Partners Group (USA) Inc.],566181,Acrisure Holdings Inc,Financial Services,True
Actimize Inc.,4164922,Actimize Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Viola Partners;Giza Venture Capital;FTV Management Company, L.P.;Viola Ventures;Vertex Management Ltd.;Vertex Venture Holdings Ltd (SGX:V05) (SGX : V05)]",122770,Actimize Inc,Software and Computer Services,False
"Active Interest Media, Inc.",4151633,"Active Interest Media, Inc.",Operating,Private Company,"Prior Sponsor-Backed [Wind Point Advisors, LLC;MidCoast Capital, LLC]",618569,Active Interest Media Inc,Media,True
"Adage, LLC",4800105,"Adage, LLC",Operating,Private Company,Never Sponsor-Backed,62258,Adage LLC,Alternative Energy,False
"Adams Resources & Energy, Inc. (NYSEAM:AE)",4010186,"Adams Resources & Energy, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Needham Investment Management, LLC;THG Securities Advisors, LLC;Dimensional Fund Advisors LP;Renaissance Technologies LLC]",17918,Adams Resources & Energy Inc,Oil and Gas,True
"Adap.tv, Inc.",4290588,"Adap.tv, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Gemini Israel Funds;Redpoint Management, LLC;Bessemer Venture Partners;Spark Capital Partners, LLC]",1363004,Adap.TV Inc,Software and Computer Services,True
"AdaptiveAds, Inc.",4225495,"AdaptiveAds, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Threshold Ventures Management Company, LLC]",1057143,Adaptiveads INC,Support Services (Industrial Goods and Services),True
"AdaptiveBlue, Inc.",4343205,"AdaptiveBlue, Inc.",Out of Business,Private Company,"Prior Sponsor-Backed [WarnerMedia Investments;Union Square Ventures, LLC;Rho Capital Partners, Inc.;Biltmore Ventures, LP;Knight's Bridge Capital Partners Inc.;RRE Ventures LLC]",1488634,AdaptiveBlue Inc,Software and Computer Services,True
"Addepar, Inc.",4538520,"Addepar, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Westech Investment Advisors, LLC;Valor Management LLC;Panorama Point Partners, LLC;Innovation Endeavors LLC;Formation8 Partners, LLC;Craft Ventures, LLC;Snow Fox Partners LLC;K3 Diversity Ventures;Global Alternative Investment Management LLC;Blumberg Capital, L.L.C.;Anduin Ventures;Chaotic Investments;PrivatEquity.biz;Cota Capital Management LLC;AlRajhi Alpha;Versatile Venture Capital;Burch Creative Capital LLC;ff Venture Capital, LLC;Streamlined Ventures;Manhattan Venture Partners;D1 Capital Partners L.P.;Primera Capital;Signatures Capital, LLC;Sway Ventures, Inc.;The Cambria Group;8VC;WestCap Investment Partners, LLC;CE Innovation Capital;Bridgeview Venture Partners]

Prior Sponsor-Backed [Group 11;Capital Factory;Citizen.VC;InterAlpen Partners, LLC;Altered Capital;TJNS Capital]",610727,Addepar Inc,Software and Computer Services,True
Adelphia Communications Corp. (OTCPK:ADEL.Q),4012017,Adelphia Communications Corp.,Out of Business,Private Company,"Prior Sponsor-Backed [JPMP Capital, LLC;Blackstone Inc. (NYSE:BX) (NYSE : BX);HarbourVest Partners, LLC;AlpInvest Partners B.V.;Madison Ventures Plus, LLC;Highfields Capital Management LP]",65180,Adelphia Communications Corp,Telecommunications,False
"ADESA, Inc. (NYSE:KAR)",4021791,"ADESA, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [PCP Managers, L.P.;Goldman Sachs Asset Management, L.P.;Kelso & Company, L.P.;Noro-Moseley Partners;ValueAct Capital Management, L.P.]",196147,Adesa Inc,Retail | Automobiles and Parts,False
"AdEx Media, Inc. (OTCPK:ADXM)",4212068,"AdEx Media, Inc.",Operating,Private Company,Never Sponsor-Backed,50120,Adex Media Inc,Software and Computer Services,True
Adjoined Consulting LLC,4114947,Adjoined Consulting LLC,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [New River Capital Partners;C/max Capital Corporation;Noro-Moseley Partners;Columbia Capital, L.P.;Cambridge Technology Capital]",1026458,Adjoined Consulting LLC,Support Services (Industrial Goods and Services),True
"Adknowledge, Inc.",4228782,"Adknowledge, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [NGP Management Oy;TPG Growth, LLC]

Prior Sponsor-Backed [Guild Capital Management LLC;TCMI Inc.;JMI Management, L.P.]",231817,Adknowledge Inc,Media,True
"AdReady, Inc.",4414217,"AdReady, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Bain Capital Ventures,LP;Khosla Ventures, LLC;Madrona Venture Group, LLC]",1077368,Adready INC,Telecommunications,True
"Adtuitive, Inc.",4247874,"Adtuitive, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [.406 Ventures, LLC]",1671302,"Adtuitive, Inc.",Support Services (Industrial Goods and Services),True
"Advance Publications, Inc.",4137158,"Advance Publications, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Schechter Private Capital, LLC]",121497,Advance Publications Inc,Media,False
"Advanced Energy Industries, Inc. (NASDAQGS:AEIS)",4306705,"Advanced Energy Industries, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [T. Rowe Price Associates, Inc.;Fidelity Management & Research Company LLC;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);Invesco Advisers, Inc.]",12670,Advanced Energy Industries Inc,Technology Hardware and Equipment,False
"Advanced Equities, Inc.",4097717,"Advanced Equities, Inc.",Out of Business,Private Company,Never Sponsor-Backed,92414,Advanced Equities Inc,Financial Services,False
"Advanced Oxygen Technologies, Inc. (OTCPK:AOXY)",4863396,"Advanced Oxygen Technologies, Inc.",Operating,Public Company,Never Sponsor-Backed,60087,Advanced Oxygen Technologies Inc,Financial Services,True
"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",Operating,Private Company,Never Sponsor-Backed,601280,Advanced Pain Management Holdings Inc,Health Care Equipment and Services,False
"Advanced Recycling Sciences, Inc. (OTCPK:ARYC)",4088401,"Advanced Recycling Sciences, Inc.",Operating,Private Company,Never Sponsor-Backed,87730,Advanced Recycling Sciences Inc,Support Services (Industrial Goods and Services),True
AdvanSix Inc. (NYSE:ASIX),4698704,AdvanSix Inc.,Operating,Public Company,Never Sponsor-Backed,220053,AdvanSix Inc,Chemicals,False
Advanstar Communications Inc.,4088470,Advanstar Communications Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Hellman & Friedman LLC;Fremont Group;Veronis Suhler Stevenson;Saratoga Investment Corp. (NYSE:SAR) (NYSE : SAR);Apriori Capital Partners L.P.;Ares Management Corporation (NYSE:ARES) (NYSE : ARES);GoldPoint Partners LLC;Anchorage Capital Group, L.L.C.;Spice Private Equity AG (OTCPK:SPPE.F) (OTCPK : SPPE.F);VSS Fund Management LLC]",293409,Advanstar Communications Inc,Support Services (Industrial Goods and Services) | Media,True
Advanta Corp. (OTCPK:ADVN.Q),102846,Advanta Corp.,Out of Business,Private Company,Never Sponsor-Backed,13508,Advanta Corp,Financial Services,True
Advantage Capital Development Corp. (OTCPK:AVCP),4096981,Advantage Capital Development Corp.,Operating,Private Company,Pending or Current Sponsor-Backed [Yorkville Advisors Global LP],50606,Advantage Capital Development Corp,Financial Services,True
"Advantage Payroll Services, Inc. (NASDAQGM:APAY)",4236268,"Advantage Payroll Services, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Silver Oak Services Partners, LLC;Willis Stein & Partners, L.L.C.]",1075408,"Advantage Payroll Services, Inc.",Support Services (Industrial Goods and Services),True
"AdvantEdge Healthcare Solutions, Inc.",4341062,"AdvantEdge Healthcare Solutions, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Safeguard Scientifics, Inc. (OTCQX:SFES) (OTCQX : SFES);ORIX Growth Capital, LLC;Founders Equity Inc.]",1339144,Advantedge Healthcare Solutions INC,Health Care Equipment and Services,True
"Advent Software, Inc. (NASDAQGM:ADVS)",4090271,"Advent Software, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Institutional Venture Partners;TPG Capital, L.P.;Mayfield Fund, L.L.C.;SPO Advisory Corp.;BAMCO, Inc.;Iron Compass Investors]",10427,Advent Software Inc,Software and Computer Services,True
"Advisory Research, Inc.",4047885,"Advisory Research, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Charles & Potomac Capital, LLC]

Prior Sponsor-Backed [TA Associates Management, L.P.;TA Associates (UK), LLP]",156931,Advisory Research Inc,Financial Services,True
"Aequitas Capital Management, Inc.",4188546,"Aequitas Capital Management, Inc.",Out of Business,Private Company,Never Sponsor-Backed,192343,Aequitas Capital Management Inc,Financial Services,False
"Aero Financial, Inc.",4273193,"Aero Financial, Inc.",Operating,Private Company,Never Sponsor-Backed,365014,Aero Financial Inc,Financial Services,True
Aetna Inc. (NYSE:AET),4021017,Aetna Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [T. Rowe Price Associates, Inc.;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK)]",6367,Aetna Inc,Insurance,False
"Affinity Bancshares, Inc. (NASDAQCM:AFBI)",4872031,"Affinity Bancshares, Inc.",Operating,Public Company,Never Sponsor-Backed,2371673,Affinity Bancshares Inc,Financial Services,True
"Affinity Labs, Inc.",4191037,"Affinity Labs, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [TVL Management Corporation;Enhanced Capital Partners, LLC;Mayfield Fund, L.L.C.;Soda Rock Partners;VSP Capital;NFX Capital Management, LLC]",1483359,Affinity Labs Inc,Software and Computer Services,True
"Affinity Technology Group, Inc. (OTCPK:AFFI)",4073325,"Affinity Technology Group, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [CF Investment Company],58990,Affinity Technology Group Inc,Technology Hardware and Equipment,True
"Affinity VideoNet, Inc.",4346630,"Affinity VideoNet, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Main Street Capital Corporation (NYSE:MAIN) (NYSE : MAIN);Hercules Capital, Inc. (NYSE:HTGC) (NYSE : HTGC)]",1053183,Affinity Videonet INC,Telecommunications,True
"Affirm Holdings, Inc. (NASDAQGS:AFRM)",26472629,"Affirm Holdings, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [TruStage Ventures, LLC;Telesoft Partners;Emerson Collective Investments, LLC;Montauk Ventures;Spur Capital Partners, LLC;PrivatEquity.biz]

Prior Sponsor-Backed [Khosla Ventures, LLC;Summit Peak Investments, LLC]",2225683,Affirm Holdings Inc,Software and Computer Services | Financial Services,False
"Affirm, Inc.",4391357,"Affirm, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Wellington Management Company LLP;Moore Capital Management, LP;Baillie Gifford & Co Ltd.;Thrive Capital Management, LLC;Caffeinated Capital Management, LLC;Annox Capital;FJ Labs, Inc.;Durable Capital Partners, LP;Notable Capital;GIC Private Limited;Baillie Gifford & Co.;EB Exchange Funds, LLC;Hard Valuable Fun;Fidelity Management & Research Company LLC;Spark Capital Partners, LLC;Advantas Capital Ventures LLC;Battery Ventures L.P.;Lightspeed Ventures, LLC;The Founders Fund, LLC;Ribbit Management Company, LLC;Ben Jen Holdings SLLC]

Prior Sponsor-Backed [Khosla Ventures, LLC;Sound Ventures, LLC;NYCA Partners LLC;Granite Asia;Craft Ventures, LLC;Andreessen Horowitz LLC]",202868,Affirm Inc,Software and Computer Services | Financial Services,False
"Affirmative Insurance Holdings, Inc. (OTCPK:AFFM.Q)",4092084,"Affirmative Insurance Holdings, Inc.",Liquidating,Private Company,"Pending or Current Sponsor-Backed [New Affirmative, LLC;J.C. Flowers & Co. LLC]

Prior Sponsor-Backed [Capital Z Partners Management, LLC;Delaware Street Capital, L.L.C.;Red Mountain Capital Partners LLC]",41286,Affirmative Insurance Holdings Inc,Insurance,True
"AG Mortgage Investment Trust, Inc. (NYSE:MITT)",4281583,"AG Mortgage Investment Trust, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Terra Capital Partners, LLC;AG Funds L P]",93537,AG Mortgage Investment Trust Inc,Financial Services,True
"AgCountry Farm Credit Services, ACA",6679150,"AgCountry Farm Credit Services, ACA",Operating,Private Company,Never Sponsor-Backed,2437900,AgCountry Farm Credit Services ACA,Financial Services,True
Agent Media Corporation,4155436,Agent Media Corporation,Acquired,Private Company,"Prior Sponsor-Backed [Patriot Capital Funding, Inc. (NASDAQGM:PCAP) (NASDAQGM : PCAP);Post Capital Partners LLC]",1067723,Agent Media Corporation,Support Services (Industrial Goods and Services),True
"Aicent, Inc.",4305464,"Aicent, Inc.",Operating,Private Company,"Prior Sponsor-Backed [TA Associates (UK), LLP]",156942,Aicent Inc,Telecommunications,True
"Air Products and Chemicals, Inc. (NYSE:APD)",4014726,"Air Products and Chemicals, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Pershing Square Capital Management, L.P.;Mantle Ridge LP]",6350,Air Products and Chemicals Inc,Oil and Gas | Alternative Energy,False
